product_id,name,base_price,price_odd,price_even,inventory,pr_wage,s_kieng,s_nhl,s_nhn,s_gl,s_gn,s_dl,s_hau,s_lua,s_kt,s_oc,s_nhom,s_7f,s_2d,s_decal,mdf_odd,mdf_even,hp_odd,hp_even,hoanh,tg,lieng,size_id,status
830,Cẩn ốc 13,87700,1500,0,500,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
831,Cẩn ốc 18,89700,2000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
832,Cẩn ốc 23,90700,3000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
833,Cẩn ốc 25,90700,4000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
834,Cẩn ốc 30,90700,5000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
835,Cẩn ốc 35,90700,7000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
836,Cẩn ốc 40 chữ,90700,8000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
837,Cẩn ốc 40 rồng,90700,10000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
838,Cẩn ốc 43,90700,12000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
839,Cẩn ốc 48,90700,8000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
840,Cẩn ốc 50 chữ,90700,12000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
841,Cẩn ốc 50 rồng,90700,14000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
842,Cẩn ốc 512,90700,16000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
843,Cẩn ốc 60 chữ,90700,15000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
844,Cẩn ốc 60 rồng,90700,25000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
845,Cẩn ốc 70 chữ,90700,25000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
846,Cẩn ốc 70 rồng,90700,30000,0,0,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,,1
847,Táo R (13) ốc Nn,87700,22500,24000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
848,Bà cậu chữ (18) ốc Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
849,Táo Chữ (13) ốc Nn,87700,22500,24000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
850,Táo Chữ (13) kt Nn,87700,17500,19000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
851,Táo Chữ (13) đc Nn,87700,17500,19000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
852,Táo Chữ (13) ốc Gn,87700,33000,34000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
853,Táo Chữ (13) kt Gn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
854,Táo Chữ (13) đc Gn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
855,Táo Chữ (18) ốc Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
856,Táo Chữ (18) kt Nn,87700,22000,23000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
857,Táo Chữ (18) đc Nn,87700,22000,23000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
858,Táo Chữ (18) ốc Gn,87700,39000,40000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
859,Táo R (13) kt Nn,87700,17500,19000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
860,Bà cậu chữ (18) kt Nn,87700,22000,23000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
861,Táo Chữ (18) kt Gn,87700,33000,34000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
862,Táo Chữ (18) đc Gn,87700,33000,34000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
863,Táo Chữ (23) ốc Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
864,Táo Chữ (23) kt Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
865,Táo Chữ (23) đc Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
866,Táo Chữ (23) ốc Gn,87700,49000,51000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
867,Táo Chữ (23) kt Gn,87700,40000,42000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
868,Táo Chữ (23) đc Gn,87700,40000,42000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
869,Táo R (13) đc Nn,87700,17500,19000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
870,Bà cậu chữ (18) đc Nn,87700,22000,23000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
871,Táo R (18) ốc Nn,87700,28000,29000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
872,Bà cậu chữ (23) ốc Nn,87700,37000,39000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
873,Táo R (18) kt Nn,87700,22000,23000,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,1
